author_id,scopus_id,h_index,document_count,current_affiliation,current_affiliation_country,affiliation_history,updated_at
https://openalex.org/A5074382261,35174536100,41,145,,,,2026-05-04T20:15:11+00:00
https://openalex.org/A5031209199,57203663975,6,6,,,,2026-05-04T20:15:12+00:00
https://openalex.org/A5103000279,9533719300,31,132,,,,2026-05-04T20:15:15+00:00
https://openalex.org/A5100759146,57191699651,90,639,,,,2026-05-04T20:15:18+00:00
https://openalex.org/A5032478294,56940520300,19,40,,,,2026-05-04T20:15:20+00:00
https://openalex.org/A5111937882,55660657700,23,44,,,,2026-05-04T20:15:29+00:00
https://openalex.org/A5101716588,57216438632,7,8,,,,2026-05-04T20:15:35+00:00
https://openalex.org/A5100397255,57202297383,15,19,,,,2026-05-04T20:15:36+00:00
https://openalex.org/A5101037836,58897337300,17,38,,,,2026-05-04T20:15:38+00:00
https://openalex.org/A5030209143,57201902143,14,55,,,,2026-05-04T20:15:41+00:00
https://openalex.org/A5053559750,57222033010,10,12,,,,2026-05-04T20:15:43+00:00
https://openalex.org/A5100368945,8405916700,58,206,,,,2026-05-04T20:15:46+00:00
https://openalex.org/A5034914778,57218489496,3,3,,,,2026-05-04T20:15:47+00:00
https://openalex.org/A5037100410,7202789861,24,54,,,,2026-05-04T20:15:49+00:00
https://openalex.org/A5084601033,57191444673,15,29,,,,2026-05-04T20:15:52+00:00
https://openalex.org/A5066724003,57222187903,20,167,,,,2026-05-04T20:16:00+00:00
https://openalex.org/A5100687713,55184980000,1,1,,,,2026-05-04T20:16:03+00:00
https://openalex.org/A5063428896,57209698161,12,19,,,,2026-05-04T20:16:06+00:00
https://openalex.org/A5004416932,57218478629,11,18,,,,2026-05-04T20:16:07+00:00
https://openalex.org/A5055300532,57224367921,1,1,,,,2026-05-04T20:16:09+00:00
https://openalex.org/A5100442077,55775349500,17,48,,,,2026-05-04T20:16:11+00:00
https://openalex.org/A5080870456,56953619400,20,40,,,,2026-05-04T20:16:13+00:00
https://openalex.org/A5048621336,57216429373,12,39,,,,2026-05-04T20:16:15+00:00
https://openalex.org/A5068266145,57200153185,40,272,,,,2026-05-04T20:16:16+00:00
https://openalex.org/A5026610113,35072944300,16,44,,,,2026-05-04T20:16:17+00:00
https://openalex.org/A5028114219,55993085100,10,17,,,,2026-05-04T20:16:19+00:00
https://openalex.org/A5057992432,25629317100,12,37,,,,2026-05-04T20:16:20+00:00
https://openalex.org/A5111648344,34771740700,12,25,,,,2026-05-04T20:16:21+00:00
https://openalex.org/A5069656306,57195229345,4,8,,,,2026-05-04T20:16:23+00:00
https://openalex.org/A5052974930,57753357400,1,1,,,,2026-05-04T20:16:24+00:00
https://openalex.org/A5080458645,57204965958,1,2,,,,2026-05-04T20:16:26+00:00
https://openalex.org/A5115588809,56152989400,18,41,,,,2026-05-04T20:16:28+00:00
https://openalex.org/A5108050435,55861670700,66,720,,,,2026-05-04T20:16:35+00:00
https://openalex.org/A5100415036,56967916100,16,81,,,,2026-05-04T20:16:38+00:00
https://openalex.org/A5073988299,55724152800,23,84,,,,2026-05-04T20:16:39+00:00
https://openalex.org/A5040432627,57226542114,5,8,,,,2026-05-04T20:16:41+00:00
https://openalex.org/A5060693550,56765516000,4,14,,,,2026-05-04T20:16:42+00:00
https://openalex.org/A5011785766,57191706675,22,87,,,,2026-05-04T20:16:43+00:00
https://openalex.org/A5016109077,57219129537,4,7,,,,2026-05-04T20:16:45+00:00
https://openalex.org/A5006316567,55224587800,16,43,,,,2026-05-04T20:16:46+00:00
https://openalex.org/A5003460413,57195960776,22,48,,,,2026-05-04T20:16:48+00:00
https://openalex.org/A5100723431,60513242200,0,1,,,,2026-05-04T20:16:50+00:00
https://openalex.org/A5024228842,57209337599,11,15,,,,2026-05-04T20:16:53+00:00
https://openalex.org/A5017743504,25031529600,49,170,,,,2026-05-04T20:16:55+00:00
https://openalex.org/A5100403351,57202260590,64,455,,,,2026-05-04T20:16:57+00:00
https://openalex.org/A5080974950,56733897600,24,50,,,,2026-05-04T20:16:59+00:00
https://openalex.org/A5056227997,7006167155,33,109,,,,2026-05-04T20:17:02+00:00
